# experimental data d^2sigma/dpT/dxF
# energy xFlow xFup nbin
38.8 -1 1 7
# ptlow ptup value err
0 0.5 0.0012637614678899084 0.00042889908256880737
0.5 1. 0.002277522935779816 0.0005642201834862386
1. 1.5 0.003405963302752294 0.0005619266055045871
1.5 2. 0.0026811926605504587 0.00046559633027522934
2. 2.5 0.0019403669724770644 0.00036123853211009183
2.5 3. 0.00016399082568807337 0.0001513761467889908
3. 3.5 0.0005217889908256881 0.0003130733944954128
