# experimental data d^2sigma/dpT/dxF
# energy xFlow xFup nbin
38.8 -1 1 7
# ptlow ptup value err
0 0.5 0.008824596774193548 0.0005806451612903225
0.5 1. 0.019602822580645163 0.0008346774193548388
1. 1.5 0.019828629032258065 0.0008114919354838709
1.5 2. 0.01529133064516129 0.000755040322580645
2. 2.5 0.009145161290322583 0.0005806451612903226
2.5 3. 0.0048457661290322585 0.00044354838709677417
3. 3.5 0.003040322580645161 0.00035383064516129035
