# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 2. 2.5 15
# ptlow ptup value err
0. 1. 0.42487046632124353 0.11928356925617968
1. 2. 1.3367875647668395 0.2885317262658208
2. 3. 2.0362694300518136 0.39299758173681765
3. 4. 2.8911917098445596 0.5274041318175354
4. 5. 2.823834196891192 0.49375275153166603
5. 6. 2.0259067357512954 0.34497812438792347
6. 7. 1.4922279792746116 0.2701266403676078
7. 8. 1.1347150259067358 0.19421414315016905
8. 9. 1.1865284974093264 0.1919897130948073
9. 10. 0.6632124352331608 0.12532006862640233
10. 11. 0.5336787564766841 0.10388568733556179
11. 12. 0.4455958549222798 0.10166537238522583
12. 13. 0.3005181347150259 0.06912779307837479
13. 14. 0.227979274611399 0.056758814249240015
14. 15. 0.09844559585492228 0.03317680952037745
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 2.5 3. 15
# ptlow ptup value err
0. 1. 0.8186528497409328 0.11928356925617968
1. 2. 1.616580310880829 0.21173903359277257
2. 3. 2.367875647668394 0.2904328799428294
3. 4. 2.1813471502590676 0.2574561295089087
4. 5. 2.0310880829015545 0.2428056894064245
5. 6. 2.321243523316062 0.26612157592531105
6. 7. 1.300518134715026 0.15587159540405515
7. 8. 1.2124352331606219 0.1470991664930403
8. 9. 0.8860103626943007 0.10219213949904675
9. 10. 0.6683937823834197 0.0804361383225908
10. 11. 0.4922279792746114 0.06594778270133606
11. 12. 0.5181347150259068 0.0677549058581452
12. 13. 0.3005181347150259 0.05155375321795959
13. 14. 0.08808290155440415 0.02692306954770276
14. 15. 0.2538860103626943 0.04546613672223898
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 3. 3.5 15
# ptlow ptup value err
0. 1. 0.40414507772020725 0.059529146596249014
1. 2. 1.1917098445595855 0.1337149005239787
2. 3. 1.2642487046632125 0.13411584565331386
3. 4. 1.9585492227979275 0.1862404223379423
4. 5. 1.1709844559585494 0.11939604789433071
5. 6. 1.6994818652849741 0.15466125965387875
6. 7. 1.1554404145077721 0.10843756236505882
7. 8. 0.8445595854922281 0.08607900376080907
8. 9. 0.6424870466321244 0.07123174655371772
9. 10. 0.5077720207253886 0.0634582834917922
10. 11. 0.2227979274611399 0.0380749700950753
11. 12. 0.227979274611399 0.037720776628396464
12. 13. 0.21243523316062177 0.037720776628396464
13. 14. 0.13471502590673576 0.026419790225869353
14. 15. 0.20207253886010362 0.0380749700950753
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 3.5 4. 12
# ptlow ptup value err
0. 1. 0.4455958549222798 0.0775473033528278
1. 2. 0.9481865284974095 0.12617404830969867
2. 3. 1.362694300518135 0.15587159540405515
3. 4. 1.077720207253886 0.12617404830969867
4. 5. 0.9481865284974095 0.10375639582642897
5. 6. 0.9378238341968913 0.09776146250835861
6. 7. 0.6010362694300518 0.07382283341334202
7. 8. 0.3005181347150259 0.04942690162782103
8. 9. 0.39378238341968913 0.056044838478714866
9. 10. 0.3626943005181347 0.0543424273663291
10. 11. 0.3316062176165804 0.04942690162782103
11. 12. 0.06217616580310881 0.0213632415835112
# experimental data d^2sigma/dpT/dy
# energy ylow yup nbin
7000. 4. 4.5 10
# ptlow ptup value err
1. 2. 0.538860103626943 0.12095976714952075
2. 3. 0.7720207253886011 0.15168167013786993
3. 4. 0.6165803108808291 0.12051506061775137
4. 5. 0.6321243523316062 0.11551034616377179
5. 6. 0.40414507772020725 0.08306331368850466
6. 7. 0.2694300518134715 0.06387993785460079
7. 8. 0.2797927461139897 0.06492209371057858
8. 9. 0.2227979274611399 0.05309300915004973
9. 10. 0.06217616580310881 0.026419790225869353
10. 11. 0.13471502590673576 0.04209346323645576
