# experimental data d^2sigma/dpT/dxF
# energy xFlow xFup nbin
38.8 -1 1 7
# ptlow ptup value err
0 0.5 0.004379533678756477 0.0005803108808290155
0.5 1. 0.007993523316062175 0.0008471502590673576
1. 1.5 0.006295336787564766 0.0007707253886010363
1.5 2. 0.0042344559585492225 0.0006256476683937824
2. 2.5 0.002751295336787565 0.0004896373056994819
2.5 3. 0.0020803108808290153 0.00038471502590673573
3. 3.5 0.001060880829015544 0.0003199481865284974
